trend_timestamp,topic_category,country,tweet_volume,mention_count,retweet_count,trend_score,sentiment_index,impressions,engagement_count
22-01-2025,AI,India,2265.0,6221.0,2688.0,0.556363715,0.865507353,14572.0,15986.0
17-01-2025,AI,USA,7341.0,7102.0,1473.0,-0.615185751,0.764488934,14616.0,8781.0
21-01-2025,Sports,USA,6294.0,,9095.0,-0.145476515,0.637842072,11954.0,20744.0
15-01-2025,AI,Germany,1645.0,5702.0,8746.0,0.931839294,0.490921453,31204.0,22183.0
20-01-2025,AI,India,4694.0,6548.0,924.0,,0.327932839,84641.0,48787.0
23-01-2025,Sports,UK,4620.0,7420.0,444.0,-0.47045313,0.598963113,90377.0,48063.0
15-01-2025,Sports,India,5087.0,7387.0,2361.0,0.750328729,0.480904853,58734.0,37846.0
11-01-2025,AI,UK,4711.0,3978.0,9530.0,-0.817703797,0.16200097,96093.0,16096.0
15-01-2025,AI,India,6972.0,3705.0,523.0,-0.909454978,,24826.0,26466.0
15-01-2025,Cloud,Germany,6966.0,2984.0,2714.0,-0.568140431,0.614473314,81784.0,28572.0
04-01-2025,AI,Germany,8753.0,8972.0,6553.0,0.230391563,0.415790081,63208.0,22285.0
11-01-2025,,UK,1091.0,7107.0,1566.0,0.295033282,0.161384012,30500.0,
24-01-2025,Finance,USA,9120.0,9939.0,9544.0,0.039382612,0.790786995,26826.0,44622.0
07-01-2025,Sports,UK,5916.0,8887.0,5498.0,0.364537976,0.510561803,68811.0,45809.0
13-01-2025,Cloud,UK,1029.0,,5032.0,-0.776427028,0.43368972,45203.0,46836.0
11-01-2025,Sports,UK,440.0,8202.0,,,0.443199414,68588.0,2506.0
15-01-2025,Sports,USA,6724.0,5006.0,2402.0,0.117543806,0.739533603,4974.0,42780.0
24-01-2025,Cloud,USA,9050.0,3066.0,6987.0,0.20232147,0.887889605,93603.0,
08-01-2025,,USA,9421.0,6259.0,2285.0,-0.077867863,0.276282807,15692.0,17560.0
13-01-2025,Sports,India,6459.0,4194.0,3640.0,0.861667532,0.816703246,41560.0,33784.0
14-01-2025,AI,USA,798.0,3506.0,2854.0,0.762856211,0.792859525,49907.0,7774.0
05-01-2025,,India,1375.0,,9299.0,-0.419700896,0.737385862,84535.0,4346.0
06-01-2025,Finance,Germany,9419.0,9540.0,5663.0,-0.601622928,0.324992264,17483.0,11851.0
21-01-2025,AI,,6989.0,8532.0,3599.0,-0.67397805,0.409531706,73647.0,35229.0
17-01-2025,Cloud,USA,6731.0,9231.0,6873.0,,0.266928732,44818.0,33821.0
22-01-2025,Cloud,India,,7732.0,9062.0,-0.059273207,0.768193625,35102.0,12051.0
04-01-2025,Cloud,India,1850.0,9109.0,2376.0,-0.482521356,0.707914825,88006.0,19173.0
15-01-2025,Sports,Germany,6263.0,7233.0,3064.0,-0.746646536,0.92387631,37018.0,36015.0
13-01-2025,Cloud,Germany,5980.0,3169.0,3976.0,0.063096655,0.125204154,15958.0,32915.0
15-01-2025,AI,USA,8485.0,6991.0,,0.488918682,0.85981452,49965.0,42060.0
05-01-2025,Sports,UK,5281.0,8412.0,160.0,0.090900861,0.880837272,52891.0,26021.0
03-01-2025,AI,India,8832.0,9681.0,348.0,-0.265123294,0.143668602,36315.0,7288.0
03-01-2025,AI,India,1895.0,9260.0,5617.0,0.637042241,0.388460225,92068.0,30368.0
07-01-2025,Sports,Germany,8454.0,7669.0,9596.0,,0.768283614,8017.0,19580.0
22-01-2025,Sports,Germany,1673.0,1989.0,7019.0,0.517503136,0.01640735,47710.0,7339.0
09-01-2025,Cloud,USA,9229.0,4230.0,9050.0,-0.239618912,,96801.0,22076.0
14-01-2025,Finance,Germany,9581.0,9771.0,1400.0,0.632223252,0.47930686,19828.0,38095.0
23-01-2025,Finance,India,1210.0,9785.0,4814.0,-0.260102725,0.562880478,39785.0,38380.0
06-01-2025,Sports,India,5711.0,4788.0,412.0,0.661479222,0.10878751,30771.0,41395.0
11-01-2025,Finance,Germany,8944.0,1424.0,9876.0,0.347964356,0.552232564,63383.0,43737.0
05-01-2025,AI,Germany,8572.0,1325.0,4096.0,-0.869626658,0.613675337,45507.0,31213.0
05-01-2025,Cloud,India,6519.0,4735.0,3906.0,0.026511704,0.10871233,32950.0,
14-01-2025,AI,Germany,8114.0,,1218.0,0.297746901,0.445594457,20238.0,15035.0
16-01-2025,Sports,Germany,1842.0,2577.0,2732.0,0.881021595,0.129965844,71680.0,15623.0
21-01-2025,Cloud,Germany,2145.0,8100.0,7381.0,0.713024606,0.669956266,25363.0,41169.0
06-01-2025,AI,UK,4629.0,9885.0,347.0,-0.020863725,0.120199169,44622.0,
